faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
DG|GNAWING HUNGER|10140004|Shamblerot Vectorium  Battle Tactic Stratagem|1.0|Gripped by a sudden, monstrous hunger, the Poxwalkers surge forward in a ravenous mass.|Your turn|Command phase|Shamblerot Vectorium|1053.0|WHEN: Your Command phase.TARGET: One Poxwalkers unit from your army.EFFECT: Until the end of the turn, add 1 to the Move characteristic of models in your unit, and add 1 to the Attacks and Strength characteristics of melee weapons equipped by models in your unit.|
DG|GRIP OF THE WALKING POX|10140002|Shamblerot Vectorium  Strategic Ploy Stratagem|1.0|Those infected by walking pox may fall as though fatally wounded, but they soon rise again.|Either players turn|Fight phase|Shamblerot Vectorium|1053.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One Poxwalkers unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: After the attacking unit has fought, roll one D6 for each model from your unit that was destroyed as a result of those attacks: on a 6, the attacking unit suffers 1 mortal wound. If your unit is not destroyed after the attacking unit has fought, enemy models destroyed as a result of this Stratagem count as enemy models destroyed by an attack made by a model in your unit for the purposes of the Curse of the Walking Pox ability.|
DG|HIDDEN AMONGST THE DEAD|10140005|Shamblerot Vectorium  Strategic Ploy Stratagem|1.0|Another wave of Poxwalkers rises from the battlefields carrion heaps.|Your turn|Movement phase|Shamblerot Vectorium|1053.0|WHEN: The Reinforcements step of your Movement phase.TARGET: One Poxwalkers unit from your army that is in Strategic Reserves and that is not an Attached unit.EFFECT: Until the end of the phase, models in that unit have the Deep Strike ability.|
DG|SHAMBLING WALL|10140007|Shamblerot Vectorium  Strategic Ploy Stratagem|1.0|Lacking even basic self-preservation instincts, Poxwalkers make excellent walking shields.|Opponents turn|Shooting phase|Shamblerot Vectorium|1053.0|"WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Death Guard unit from your army that was selected as the target of one or more of the attacking units attacks, and one friendly Poxwalkers unit within 3"" of your unit and visible to both your unit and the attacking unit.EFFECT: Until the end of the phase, each time you would allocate an attack to a model in your DEATH GUARD unit, if your POXWALKERS unit is visible to the attacking model and is an eligible target for that attack, no saving throw is made for that attack; instead a number of POXWALKERS from your POXWALKERS unit equal to the Damage characteristic of that attack are destroyed."|
DG|SMEARED WITH FILTH|10140003|Shamblerot Vectorium  Strategic Ploy Stratagem|1.0|Hacking a path through a horde of Poxwalkers leaves aggressors coated in infectious matter.|Either players turn|Fight phase|Shamblerot Vectorium|1053.0|WHEN: Fight phase.TARGET: One Poxwalkers unit from your army that was just destroyed. You can target that unit with this Stratagem even though it was just destroyed.EFFECT: Select one enemy unit that made one or more attacks that targeted your unit this phase. Until the end of the battle, that enemy unit is Afflicted.|
DG|SHOCK AND HORROR|10140006|Shamblerot Vectorium  Strategic Ploy Stratagem|1.0|Already dismayed by this living nightmare, the enemy falters before another sudden onslaught.|Your turn|Charge phase|Shamblerot Vectorium|1053.0|WHEN: Your Charge phase, just after a Death Guard unit from your army ends a Charge move.TARGET: That DEATH GUARD unit.EFFECT: Each enemy unit within Engagement Range of your unit must take a Battle-shock test, subtracting 1 from that test.|
DG|CLUTCHING CORRUPTION|10136003|Tallyband Summoners  Battle Tactic Stratagem|1.0|The daemons of Nurgle grasp their victims tightly with rotting talons and coiling tentacles, their clutch as inescapable as entropy itself.|Either players turn|Fight phase|Tallyband Summoners|1052.0|WHEN: Fight phase.TARGET: One Death Guard unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets an enemy unit that is within Engagement Range of one or more Plague Legions units from your army, you can re-roll the Hit roll.|
DG|FLESHY AVALANCHE|10136005|Tallyband Summoners  Strategic Ploy Stratagem|1.0|The ephemeral structures of realspace have no power to halt the onset of Nurgle's Great Unclean Ones; they crumble, rot and burst apart before their unholy bulk.|Your turn|Movement or Charge phase|Tallyband Summoners|1052.0|WHEN: Your Movement phase or your Charge phase.TARGET: One Plague Legions Monster unit from your army that has not been selected to move or charge this phase.EFFECT: Until the end of the phase, each time your unit makes a Normal, Advance or Charge move, it can move horizontally through terrain features.|
DG|AVATARS OF DECAY|10136006|Tallyband Summoners  Strategic Ploy Stratagem|1.0|Countless diseases blossom in the unreal flesh of Nurgle's daemon childer, manifestations of his blessings to be spread to all.|Your turn|Shooting phase|Tallyband Summoners|1052.0|"WHEN: Your Shooting phase.TARGET: One Plague Legions unit from your army.EFFECT: Until the end of the phase, while an enemy unit is within 6"" of your unit, that enemy unit is Afflicted."|
DG|MIRESLICK|10136007|Tallyband Summoners  Strategic Ploy Stratagem|1.0|Beneath the tread of Nurgles daemons, even ferrocrete or plasteel soon turns to a quagmire of rotting matter, in which their unlucky enemies begin to sink and become trapped.|Opponents turn|Movement phase|Tallyband Summoners|1052.0|WHEN: Your opponents Movement phase, when an enemy unit (excluding MONSTERS and VEHICLES) is selected to Fall Back.TARGET: One Plague Legions unit from your army that is within Engagement Range of that enemy unit.EFFECT: Until the end of the phase, while an enemy unit is within Engagement Range of your unit, each time that unit is selected to Fall Back, it must take a Leadership test. If that test is failed, that unit must Remain Stationary this phase instead.|
DG|PERSISTENT PESTS|10136002|Tallyband Summoners  Strategic Ploy Stratagem|1.0|There is no simple way to wholly cleanse a Nurgling infestation once it has taken root.|Either players turn|Any phase|Tallyband Summoners|1052.0|WHEN: Any phase.TARGET: One Nurglings unit from your army that was just destroyed. You can target that unit with this Stratagem even though it was just destroyed.EFFECT: Add a new unit to your army identical to your destroyed unit, in Strategic Reserves, at its Starting Strength and with its full wounds remaining.RESTRICTIONS: You can only use this Stratagem once per battle.|
DG|ALL IS ROT|10136004|Tallyband Summoners  Strategic Ploy Stratagem|1.0|Death Guard warriors open fire into foes already embattled by Nurgles daemons, knowing that no matter who they hit, all will wither and rot.|Your turn|Shooting phase|Tallyband Summoners|1052.0|WHEN: Your Shooting phase.TARGET: One Plague Legions unit from your army that is within Engagement Range of one or more enemy units.EFFECT: Until the end of the phase, enemy units are not considered to be within Engagement Range of your unit for the purposes of selecting targets of ranged weapons. Until the end of the phase, each time an enemy model loses a wound, while that models unit is within Engagement Range of your unit, roll one D6: on a 5+, your unit suffers 1 mortal wound after the attacking unit has finished making its attacks.|
DG|POX FLARE|9409002|Unclean Uprising  Battle Tactic Stratagem|1.0|Like fever heat bursting into unclean flame, the diseases infesting these Poxwalkers flare with sudden infectious vitality.|Either players turn|Fight phase|Unclean Uprising|931.0|WHEN: Fight phase.TARGET: One POXwALKERS unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, improve the Armour Penetration characteristic of melee weapons equipped by models in your unit by 1.|
DG|SHAMBLING ONSLAUGHT|9409005|Unclean Uprising  Strategic Ploy Stratagem|1.0|Relentless, untiring, the plague-rotted hordes press forward in a tide of grasping hands, stinking bodies and gnashing, splintered teeth.|Opponents turn|Movement phase|Unclean Uprising|931.0|WHEN: Your opponent's Movement phase, just after an enemy unit is selected to Fall Back.TARGET: One POXwALKERS unit from your army within Engagement Range of that enemy unit.EFFECT: After that enemy unit ends that Fall Back move, if your unit is not within Engagement Range of one or more enemy units, your unit can make a Normal move.|
DG|PATH OF PESTILENCE|9409003|Unclean Uprising  Strategic Ploy Stratagem|1.0|Long have lurking cultists planned the uprising and prepared the route for their plague-blessed masters to process to victory.|Your turn|Movement phase|Unclean Uprising|931.0|WHEN: Your Movement phase.TARGET: One DEATH GUARD CULTISTS unit from your army that has not been selected to move this phase and is not within Engagement Range of one or more enemy units.EFFECT: Select one closed Hatchway within 1 of your unit. Your unit can attempt to operate that Hatchway.RESTRICTIONS: Until the end of the turn, your unit cannot attempt to operate a Hatchway again.|
DG|CHINKS IN THE ARMOUR|9399002|Vectors of Decay  Battle Tactic Stratagem|1.0|Even the slightest weakness is enough for the foulness of the Death Guard to find a way in.|Either players turn|Shooting or Fight phase|Vectors of Decay|930.0|WHEN: Your Shooting phase or the Fight phase.TARGET: One DEATH GUARD unit from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets a unit within Contagion Range of one or more units from your army, a Critical Hit is scored on an unmodified Hit roll of 5+, instead of only a 6.|
DG|THE DEAD RISE|9409004|Vectors of Decay  Strategic Ploy Stratagem|1.0|What appeared moments before to be a mere carrion heap suddenly lurches into foul and grinning unlife.|Your turn|Movement phase|Unclean Uprising|931.0|WHEN: Your Movement phase, at the start of the Reinforcements step.TARGET: One POXwALKERS unit from your army that is in Reserves.EFFECT: Until the end of the phase, your unit has the Deep Strike ability.RESTRICTIONS: You can only use this Stratagem once.|
DG|SEEPING CORROSION|9399005|Vectors of Decay  Strategic Ploy Stratagem|1.0|Crawling tendrils of foulness spread through the voidship at the touch of the Death Guard, poisoning and rotting luckless foes.|Your turn|Movement phase|Vectors of Decay|930.0|"WHEN: Your Movement phase, when a DEATH GUARD unit from your army (excluding CULTISTS and POXwALKERS units) attempts to open a Hatchway.TARGET: That DEATH GUARD unit.EFFECT: Select one enemy unit within 1"" of your unit and on the opposite side of that Hatchway from your unit, and roll one D6: on a 2-4, that enemy unit suffers 1 mortal wound; on a 5+, that enemy unit suffers 2 mortal wounds. Until the end of the phase, if an enemy unit attempts to prevent that Hatchway from being opened, when rolling off, you can re-roll your result."|
